Timestamp,QI,QJ,QK,QR,AX,AY,AZ,GX,GY,GZ
2448928,0.0,0.0,0.0,0.0,-0.039062514901161194,-0.38281264901161194,9.648441314697266,0.0,0.0,0.0
2453228,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.38281264901161194,9.609378814697266,0.0,0.0,0.0
2457880,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.38281264901161194,9.691410064697266,0.0,0.0,0.0
2463044,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.38281264901161194,9.609378814697266,0.0,0.0,0.0
2468408,0.0,0.0,0.0,0.0,-0.039062514901161194,-0.38281264901161194,9.609378814697266,0.0,0.0,0.0
2473996,0.0,0.0,0.0,0.0,-0.11328128725290298,-0.38281264901161194,9.609378814697266,0.0,0.0,0.0
2479892,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.42187514901161194,9.652347564697266,0.0,0.0,0.0
2484548,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.42187514901161194,9.652347564697266,0.0,0.0,0.0
2490924,0.0,0.0,0.0,0.0,-0.039062514901161194,-0.38281264901161194,9.648441314697266,0.0,0.0,0.0
2496832,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.42187514901161194,9.613285064697266,0.0,0.0,0.0
2502500,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.38281264901161194,9.609378814697266,0.0,0.0,0.0
2507872,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.38281264901161194,9.648441314697266,0.0,0.0,0.0
2513088,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.38281264901161194,9.648441314697266,0.0,0.0,0.0
2518668,0.0,0.0,0.0,0.0,-0.11328128725290298,-0.38281264901161194,9.609378814697266,0.0,0.0,0.0
2522972,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.42187514901161194,9.687503814697266,0.0,0.0,0.0
2529396,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.42187514901161194,9.687503814697266,-0.001953126396983862,-0.001953126396983862,-0.001953126396983862
2536408,0.0,0.0,0.0,0.0,-0.07812502980232239,-0.42187514901161194,9.687503814697266,0.0,-0.003906252793967724,0.0
