Timestamp,QI,QJ,QK,QR,AX,AY,AZ,GX,GY,GZ
2586,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.19140632450580597,9.664066314697266,0.0,0.0,0.0
2592,0.0,0.0,0.0,0.0,-0.17187505960464478,-0.18359380960464478,9.671878814697266,0.0,0.0,0.0
2599,0.0,0.0,0.0,0.0,-0.16406255960464478,-0.21093757450580597,9.679691314697266,0.0,0.0,0.0
2607,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.18359380960464478,9.691410064697266,0.0,0.0,0.0
2614,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.18359380960464478,9.664066314697266,0.0,0.0,0.0
2622,0.0,0.0,0.0,0.0,-0.13281254470348358,-0.21093757450580597,9.683597564697266,0.0,0.0,0.0
2630,0.0,0.0,0.0,0.0,-0.16406255960464478,-0.18359380960464478,9.683597564697266,0.0,0.0,0.0
2646,0.0,0.0,0.0,0.0,-0.16406255960464478,-0.18359380960464478,9.683597564697266,0.001953126396983862,0.001953126396983862,-0.003906252793967724
2661,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.19140632450580597,9.691410064697266,0.001953126396983862,0.001953126396983862,-0.003906252793967724
2669,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.19140632450580597,9.691410064697266,0.001953126396983862,0.001953126396983862,0.003906252793967724
2699,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.19140632450580597,9.691410064697266,0.0,0.001953126396983862,0.009765632450580597
2718,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.19140632450580597,9.691410064697266,-0.003906252793967724,0.005859379190951586,0.007812505587935448
2738,0.0,0.0,0.0,0.0,-0.16406255960464478,-0.19140632450580597,9.671878814697266,-0.003906252793967724,0.005859379190951586,0.007812505587935448
2747,0.0,0.0,0.0,0.0,-0.16406255960464478,-0.19140632450580597,9.671878814697266,0.001953126396983862,0.0,0.0
2756,0.0,0.0,0.0,0.0,-0.16406255960464478,-0.19140632450580597,9.671878814697266,0.001953126396983862,-0.001953126396983862,0.0
2764,0.0,0.0,0.0,0.0,-0.15234380960464478,-0.19140632450580597,9.722660064697266,0.001953126396983862,-0.001953126396983862,0.0
2774,0.0,0.0,0.0,0.0,-0.16406255960464478,-0.21093757450580597,9.687503814697266,0.001953126396983862,-0.001953126396983862,0.0
2786,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.23046883940696716,9.691410064697266,0.001953126396983862,-0.001953126396983862,0.0
2795,0.0,0.0,0.0,0.0,-0.13281254470348358,-0.18359380960464478,9.687503814697266,0.001953126396983862,-0.001953126396983862,0.0
2803,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.19921882450580597,9.675785064697266,0.001953126396983862,-0.001953126396983862,0.0
2816,0.0,0.0,0.0,0.0,-0.15234380960464478,-0.21093757450580597,9.703128814697266,0.001953126396983862,-0.001953126396983862,0.0
2825,0.0,0.0,0.0,0.0,-0.15234380960464478,-0.21093757450580597,9.703128814697266,0.0,0.003906252793967724,-0.001953126396983862
2833,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.18359380960464478,9.691410064697266,0.0,0.003906252793967724,-0.001953126396983862
2845,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.21093757450580597,9.687503814697266,0.0,0.003906252793967724,-0.001953126396983862
2854,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.21093757450580597,9.687503814697266,0.0,-0.001953126396983862,0.001953126396983862
2864,0.0,0.0,0.0,0.0,-0.16406255960464478,-0.18359380960464478,9.691410064697266,0.0,-0.001953126396983862,0.001953126396983862
2873,0.0,0.0,0.0,0.0,-0.14453129470348358,-0.19921882450580597,9.679691314697266,0.0,-0.001953126396983862,0.001953126396983862
2879,0.0,0.0,0.0,0.0,-0.16406255960464478,-0.21093757450580597,9.687503814697266,0.0,-0.001953126396983862,0.001953126396983862
2887,-0.009460455738008022,0.008544928394258022,0.00012207039981149137,0.9999396800994873,-0.16406255960464478,-0.21093757450580597,9.687503814697266,0.0,-0.001953126396983862,0.001953126396983862
2917,-0.009460455738008022,0.008544928394258022,0.00012207039981149137,0.9999396800994873,-0.16406255960464478,-0.21093757450580597,9.687503814697266,0.0,0.003906252793967724,0.001953126396983862
2947,-0.009460455738008022,0.008544928394258022,0.00012207039981149137,0.9999396800994873,-0.16406255960464478,-0.21093757450580597,9.687503814697266,-0.003906252793967724,0.001953126396983862,0.003906252793967724
2956,-0.009460455738008022,0.008544928394258022,0.00012207039981149137,0.9999396800994873,-0.16406255960464478,-0.21093757450580597,9.687503814697266,-0.005859379190951586,0.001953126396983862,0.005859379190951586
2965,-0.009460455738008022,0.008544928394258022,0.00012207039981149137,0.9999396800994873,-0.16406255960464478,-0.21093757450580597,9.687503814697266,-0.001953126396983862,0.0,0.003906252793967724
2974,-0.009460455738008022,0.008544928394258022,0.00012207039981149137,0.9999396800994873,-0.14453129470348358,-0.19921882450580597,9.675785064697266,-0.001953126396983862,0.0,0.003906252793967724
2984,-0.009460455738008022,0.008544928394258022,0.00012207039981149137,0.9999396800994873,-0.15234380960464478,-0.19140632450580597,9.679691314697266,-0.001953126396983862,0.0,0.003906252793967724
